2021-12-02 03:40:02 status unpacked libgdbm-compat4:amd64 1.19-2
2021-12-02 03:40:02 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2021-12-02 03:40:02 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2021-12-02 03:40:03 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2021-12-02 03:40:03 install perl:amd64 <none> 5.32.1-4+deb11u2
2021-12-02 03:40:03 status half-installed perl:amd64 5.32.1-4+deb11u2
2021-12-02 03:40:03 status unpacked perl:amd64 5.32.1-4+deb11u2
2021-12-02 03:40:03 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2021-12-02 03:40:03 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:03 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:03 install libexpat1:amd64 <none> 2.2.10-2
2021-12-02 03:40:03 status half-installed libexpat1:amd64 2.2.10-2
2021-12-02 03:40:03 status unpacked libexpat1:amd64 2.2.10-2
2021-12-02 03:40:03 install python3.9-minimal:amd64 <none> 3.9.2-1
2021-12-02 03:40:03 status half-installed python3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:03 status unpacked python3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:03 startup packages configure
2021-12-02 03:40:03 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2021-12-02 03:40:03 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:03 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:03 status installed libpython3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:03 configure libexpat1:amd64 2.2.10-2 <none>
2021-12-02 03:40:03 status unpacked libexpat1:amd64 2.2.10-2
2021-12-02 03:40:03 status half-configured libexpat1:amd64 2.2.10-2
2021-12-02 03:40:03 status installed libexpat1:amd64 2.2.10-2
2021-12-02 03:40:03 configure python3.9-minimal:amd64 3.9.2-1 <none>
2021-12-02 03:40:03 status unpacked python3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:03 status half-configured python3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:04 status installed python3.9-minimal:amd64 3.9.2-1
2021-12-02 03:40:04 startup archives unpack
2021-12-02 03:40:04 install python3-minimal:amd64 <none> 3.9.2-3
2021-12-02 03:40:04 status half-installed python3-minimal:amd64 3.9.2-3
2021-12-02 03:40:04 status unpacked python3-minimal:amd64 3.9.2-3
2021-12-02 03:40:04 install media-types:all <none> 4.0.0
2021-12-02 03:40:04 status half-installed media-types:all 4.0.0
2021-12-02 03:40:04 status unpacked media-types:all 4.0.0
2021-12-02 03:40:04 install libmpdec3:amd64 <none> 2.5.1-1
2021-12-02 03:40:04 status half-installed libmpdec3:amd64 2.5.1-1
2021-12-02 03:40:04 status unpacked libmpdec3:amd64 2.5.1-1
2021-12-02 03:40:04 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2021-12-02 03:40:04 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2021-12-02 03:40:05 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2021-12-02 03:40:05 install python3.9:amd64 <none> 3.9.2-1
2021-12-02 03:40:05 status half-installed python3.9:amd64 3.9.2-1
2021-12-02 03:40:05 status unpacked python3.9:amd64 3.9.2-1
2021-12-02 03:40:05 install libpython3-stdlib:amd64 <none> 3.9.2-3
2021-12-02 03:40:05 status half-installed libpython3-stdlib:amd64 3.9.2-3
2021-12-02 03:40:05 status unpacked libpython3-stdlib:amd64 3.9.2-3
2021-12-02 03:40:05 startup packages configure
2021-12-02 03:40:05 configure python3-minimal:amd64 3.9.2-3 <none>
2021-12-02 03:40:05 status unpacked python3-minimal:amd64 3.9.2-3
2021-12-02 03:40:05 status half-configured python3-minimal:amd64 3.9.2-3
2021-12-02 03:40:05 status installed python3-minimal:amd64 3.9.2-3
2021-12-02 03:40:05 startup archives unpack
2021-12-02 03:40:05 install python3:amd64 <none> 3.9.2-3
2021-12-02 03:40:05 status half-installed python3:amd64 3.9.2-3
2021-12-02 03:40:05 status unpacked python3:amd64 3.9.2-3
2021-12-02 03:40:05 install libncurses6:amd64 <none> 6.2+20201114-2
2021-12-02 03:40:05 status half-installed libncurses6:amd64 6.2+20201114-2
2021-12-02 03:40:05 status unpacked libncurses6:amd64 6.2+20201114-2
2021-12-02 03:40:05 install libprocps8:amd64 <none> 2:3.3.17-5
2021-12-02 03:40:05 status half-installed libprocps8:amd64 2:3.3.17-5
2021-12-02 03:40:05 status unpacked libprocps8:amd64 2:3.3.17-5
2021-12-02 03:40:05 install procps:amd64 <none> 2:3.3.17-5
2021-12-02 03:40:05 status half-installed procps:amd64 2:3.3.17-5
2021-12-02 03:40:05 status unpacked procps:amd64 2:3.3.17-5
2021-12-02 03:40:05 install sensible-utils:all <none> 0.0.14
